entity_id,domain,friendly_name,state,device_class,unit_of_measurement
switch.guest_wifi_5g,switch,Guest WIFI 5G,unavailable,,
switch.guest_wifi_6g,switch,Guest WIFI 6G,unavailable,,
switch.wifi_2_4g,switch,WIFI 2.4G,unavailable,,
switch.wifi_5g,switch,WIFI 5G,unavailable,,
switch.wifi_6g,switch,WIFI 6G,unavailable,,
switch.iot_wifi_2_4g,switch,IoT WIFI 2.4G,unavailable,,
switch.iot_wifi_5g,switch,IoT WIFI 5G,unavailable,,
switch.iot_wifi_6g,switch,IoT WIFI 6G,unavailable,,
switch.router_data_fetching,switch,Router data fetching,unavailable,,
button.reboot,button,Reboot,unavailable,restart,
light.light_office,light,Light-office,off,,
select.light_office_power_on_behavior,select,Light-office Power-on behavior,unknown,,
update.light_office,update,Light-office,off,firmware,
light.light_theater_right,light,Light-Theater-Right,on,,
select.light_theater_right_power_on_behavior,select,Light-Theater-Right Power-on behavior,unknown,,
update.light_theater_right,update,Light-Theater-Right,off,firmware,
light.light_theater_left,light,Light-Theater-Left,on,,
select.light_theater_left_power_on_behavior,select,Light-Theater-Left Power-on behavior,unknown,,
update.light_theater_left,update,Light-Theater-Left,off,firmware,
switch.plug_basement_burner,switch,Plug-basement-burner,off,,
select.plug_basement_burner_power_on_behavior,select,Plug-basement-burner Power-on behavior,unknown,,
sensor.plug_basement_burner_ac_frequency,sensor,Plug-basement-burner Frequency,60,frequency,Hz
sensor.plug_basement_burner_power,sensor,Plug-basement-burner Power,0,power,W
sensor.plug_basement_burner_energy,sensor,Plug-basement-burner Energy,2.26,energy,kWh
sensor.plug_basement_burner_current,sensor,Plug-basement-burner Current,0,current,A
sensor.plug_basement_burner_voltage,sensor,Plug-basement-burner Voltage,123.2,voltage,V
update.plug_basement_burner,update,Plug-basement-burner,off,firmware,
light.light_front_left,light,Light-Front-left,on,,
select.light_front_left_power_on_behavior,select,Light-Front-left Power-on behavior,unknown,,
update.light_front_left,update,Light-Front-left,off,firmware,
light.light_front_right,light,Light-Front-right,on,,
select.light_front_right_power_on_behavior,select,Light-Front-right Power-on behavior,unknown,,
update.light_front_right,update,Light-Front-right,off,firmware,
switch.plug_humidor,switch,Plug-humidor,on,,
select.plug_humidor_power_on_behavior,select,Plug-humidor Power-on behavior,unknown,,
sensor.plug_humidor_ac_frequency,sensor,Plug-humidor Frequency,60,frequency,Hz
sensor.plug_humidor_power,sensor,Plug-humidor Power,13.7,power,W
sensor.plug_humidor_energy,sensor,Plug-humidor Energy,1.6,energy,kWh
sensor.plug_humidor_current,sensor,Plug-humidor Current,0.2,current,A
sensor.plug_humidor_voltage,sensor,Plug-humidor Voltage,122.7,voltage,V
update.plug_humidor,update,Plug-humidor,off,firmware,
sensor.hygrometer_humidor_temperature,sensor,Hygrometer-Humidor Temperature,69.98,temperature,°F
sensor.hygrometer_humidor_humidity,sensor,Hygrometer-Humidor Humidity,62.22,humidity,%
sensor.hygrometer_humidor_battery,sensor,Hygrometer-Humidor Battery,100,battery,%
switch.plug_mainfloor_burner,switch,Plug-Mainfloor-burner,off,,
select.plug_mainfloor_burner_power_on_behavior,select,Plug-Mainfloor-burner Power-on behavior,unknown,,
sensor.plug_mainfloor_burner_ac_frequency,sensor,Plug-Mainfloor-burner Frequency,60,frequency,Hz
sensor.plug_mainfloor_burner_power,sensor,Plug-Mainfloor-burner Power,0,power,W
sensor.plug_mainfloor_burner_energy,sensor,Plug-Mainfloor-burner Energy,2.8,energy,kWh
sensor.plug_mainfloor_burner_current,sensor,Plug-Mainfloor-burner Current,0,current,A
sensor.plug_mainfloor_burner_voltage,sensor,Plug-Mainfloor-burner Voltage,123.1,voltage,V
update.plug_mainfloor_burner,update,Plug-Mainfloor-burner,off,firmware,
device_tracker.espressif,device_tracker,Espressif,unavailable,,
automation.outdoor_lights_control_sunrise_sunset,automation,Outdoor Lights Control - Sunrise/Sunset,unavailable,,
automation.3_30_am_light_activation,automation,3:30 AM Light Activation,unavailable,,
input_number.theater_dual_candy_cane_delay,input_number,Candy Cane Swap Delay (sec),unavailable,,
input_boolean.theater_dual_candy_cane,input_boolean,Theater Dual Candy Cane Effect,unavailable,,
device_tracker.work_laptop,device_tracker,work laptop,unavailable,,
sensor.sensor_office_battery,sensor,Sensor-office Battery,100,battery,%
sensor.sensor_office_temperature,sensor,Sensor-office Temperature,74.84,temperature,°F
sensor.sensor_office_humidity,sensor,Sensor-office Humidity,56,humidity,%
device_tracker.taras_iphone_14,device_tracker,Taras-iPhone-14,unavailable,,
device_tracker.phone,device_tracker,Android,unavailable,,
device_tracker.firetv_bedroom,device_tracker,firetv-bedroom,unavailable,,
scene.govee_to_mqtt_one_click_default_husker_game,scene,Govee to MQTT One-Click: Default: Husker Game,unknown,,
sensor.h7122_afaa_status,sensor,Garage Air Purifier Status,Available,,
button.h7122_afaa_request_platform_api_state,button,Garage Air Purifier Request Platform API State,unknown,,
sensor.h7120_a0a8_status,sensor,Guest Room Purifier Status,Available,,
button.h7120_a0a8_request_platform_api_state,button,Guest Room Purifier Request Platform API State,unknown,,
sensor.h5179_fcff_status,sensor,Office Thermostat Status,Available,,
button.h5179_fcff_request_platform_api_state,button,Office Thermostat Request Platform API State,unknown,,
sensor.h6008_cc38_status,sensor,Light-parents Status,Available,,
button.h6008_cc38_request_platform_api_state,button,Light-parents Request Platform API State,unknown,,
sensor.h6008_3b6e_status,sensor,Light-Guest Room Status,Available,,
button.h6008_3b6e_request_platform_api_state,button,Light-Guest Room Request Platform API State,unknown,,
sensor.h6008_c430_status,sensor,Light-attic Status,Available,,
button.h6008_c430_request_platform_api_state,button,Light-attic Request Platform API State,unknown,,
sensor.h6008_12c6_status,sensor,Status,unavailable,,
button.h6008_12c6_request_platform_api_state,button,Request Platform API State,unavailable,,
sensor.h7123_b962_status,sensor,Bedroom Purifier Status,Available,,
button.h7123_b962_request_platform_api_state,button,Bedroom Purifier Request Platform API State,unknown,,
sensor.h5080_8b80_status,sensor,Tree Status,Available,,
button.h5080_8b80_request_platform_api_state,button,Tree Request Platform API State,unknown,,
sensor.h6008_9934_status,sensor,Bar light Status,Available,,
button.h6008_9934_request_platform_api_state,button,Bar light Request Platform API State,unknown,,
sensor.h70c2_e9ea_status,sensor,Christmas Tree Lights Status,Available,,
button.h70c2_e9ea_request_platform_api_state,button,Christmas Tree Lights Request Platform API State,unknown,,
switch.tree_power_switch,switch,Tree Power Switch,off,,
light.light_ari_2,light,,unavailable,,
switch.light_ari_power_switch,switch,Power Switch,unavailable,,
switch.bedroom_purifier_power_switch,switch,Bedroom Purifier Power Switch,on,,
button.bedroom_purifier_activate_mode_auto,button,Bedroom Purifier Activate Mode: Auto,unknown,,
button.bedroom_purifier_activate_mode_sleep,button,Bedroom Purifier Activate Mode: Sleep,unknown,,
number.bedroom_purifier_gearmode,number,Bedroom Purifier gearMode,3,,
select.bedroom_purifier_mode,select,Bedroom Purifier Mode,gearMode,,
sensor.bedroom_purifier_filterlifetime,sensor,Bedroom Purifier filterLifeTime,"{""value"":60}",,
sensor.bedroom_purifier_airquality,sensor,Bedroom Purifier airQuality,"{""value"":1}",,
light.guest_room_purifier,light,Guest Room Purifier,off,,
select.guest_room_purifier_mode_scene,select,Guest Room Purifier Mode/Scene,unknown,,
switch.guest_room_purifier_power_switch,switch,Guest Room Purifier Power Switch,off,,
