entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,supported_features,0
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,current,0
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,friendly_name,Huskers: Touchdown Celebration
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,id,huskers_td_burst_on_score
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,last_triggered,2025-08-28T20:51:00.351031+00:00
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,mode,single
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,friendly_name,Huskers: Theater Show Auto Start
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,id,huskers_theater_show_auto_start
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,restored,True
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,supported_features,0
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,friendly_name,Huskers: Theater Show Auto Stop
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,id,huskers_theater_show_auto_stop
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,restored,True
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,supported_features,0
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,friendly_name,Huskers: Toggle Debug Logging
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,id,huskers_toggle_debug_logging
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,restored,True
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,supported_features,0
automation.huskers_touchdown_boost,automation,Huskers: Touchdown Boost,unavailable,,,,,friendly_name,Huskers: Touchdown Boost
automation.huskers_touchdown_boost,automation,Huskers: Touchdown Boost,unavailable,,,,,id,huskers_touchdown_boost
